Word,Regency Pronunciation,Cambridge Dictionary Link,Note,
Abergavenny,aber-GEN-ee,https://dictionary.cambridge.org/dictionary/english/abergavenny,Aristocratic title/place,
Abeyance,uh-BAY-unss,https://dictionary.cambridge.org/dictionary/english/abeyance,Legal state of temporary disuse (Common in Regency inheritance),
Acai,ah-sah-EE,https://dictionary.cambridge.org/dictionary/english/acai,,
Acheson,AT-chi-sun,https://dictionary.cambridge.org/dictionary/english/acheson,Surname,
Acquiesce,ack-wee-ess,https://dictionary.cambridge.org/dictionary/english/acquiesce,Accept reluctantly,
Actually,AK-choo-ul-lee,https://dictionary.cambridge.org/dictionary/english/actually,,
Admirable,AD-mruh-bul,https://dictionary.cambridge.org/dictionary/english/admirable,Three syllables; stress on first,
Admiral,AD-mi-rul,https://dictionary.cambridge.org/dictionary/english/admiral,,
Affluence,AF-loo-unss,https://dictionary.cambridge.org/dictionary/english/affluence,Stress on 1st syllable,
Ague,AY-gyoo,https://dictionary.cambridge.org/dictionary/english/ague,Two syllables (Fever/Chills),
Aide-de-camp,AYD-duh-KAMP,https://dictionary.cambridge.org/dictionary/english/aide-de-camp,Military officer acting as an assistant,
Alacrity ,uh-LAK-rit-ee ,https://dictionary.cambridge.org/dictionary/english/alacrity ,Eagerness. Note the stress on the second syllable ,
Albedo,al-BEE-doh,https://dictionary.cambridge.org/dictionary/english/albedo,Reflectivity,
Albeit,all-BEE-it,https://dictionary.cambridge.org/dictionary/english/albeit,,
Alight,uh-lyte,https://dictionary.cambridge.org/dictionary/english/alight,Get down from,
Almack's,all-maks,https://dictionary.cambridge.org/dictionary/english/almack-s,The assembly rooms,
Almond ,AH-mund ,https://dictionary.cambridge.org/dictionary/english/almond,"The ""L"" is silent in the primary Oxford pronunciation ",
Alnwick,AN-nick,https://dictionary.cambridge.org/dictionary/english/alnwick,,
Alresford,OLLS-ford,https://dictionary.cambridge.org/dictionary/english/alresford,Hampshire location,
Altrincham,OL-tring-um,https://dictionary.cambridge.org/dictionary/english/altrincham,Northern town,
Alumnae,uh-LUM-nee,https://dictionary.cambridge.org/dictionary/english/alumnae,Feminine plural (ends in 'nee'),
Amanuensis,uh-man-yoo-EN-sis,https://dictionary.cambridge.org/dictionary/english/amanuensis,A literary assistant/scribe,
Amesbury,AYMZ-bree,https://dictionary.cambridge.org/dictionary/english/amesbury,Location,
Anathema,uh-NATH-uh-muh,https://dictionary.cambridge.org/dictionary/english/anathema,Something one vehemently dislikes,
Anemone,uh-NEM-uh-nee,https://dictionary.cambridge.org/dictionary/english/anemone,Four distinct syllables,
Anise,AN-iss,https://dictionary.cambridge.org/dictionary/english/anise,,
Anisotropy,an-eye-SOT-ruh-pee,https://dictionary.cambridge.org/dictionary/english/anisotropy,Directional dependence,
Annuity,uh-new-ih-tee,https://dictionary.cambridge.org/dictionary/english/annuity,Yearly income,
Antarctic,ANT-ark-tik,https://dictionary.cambridge.org/dictionary/english/antarctic,,
Apothecary,a-poth-uh-ker-ee,https://dictionary.cambridge.org/dictionary/english/apothecary,"In Regency, this is a five-syllable word. Avoid compressing it to ""uh-poth-ka-ree."" ",
